timestamp,sensor_id,temperatura,vibracion,presion,ruido_db,es_anomalia,tipo_anomalia
2025-06-04 05:34:40,SENS-003,140.7,10.11,1913.4,119.7,1,presion_anormal
2025-06-04 06:34:40,SENS-004,100,8.96,1965.0,111.6,1,sobrecalentamiento
2025-06-04 07:34:40,SENS-004,172.1,2.92,1554.2,81.0,0,normal
2025-06-04 08:34:40,SENS-002,178.2,2.4,1595.7,89.9,0,normal
2025-06-04 09:34:40,SENS-003,234.7,10.11,1108.9,112.7,1,falla_sensor
2025-06-04 10:34:40,SENS-003,171.2,1.72,1530.7,82.2,0,normal
2025-06-04 11:34:40,SENS-003,167.8,2.12,1633.1,84.9,0,normal
2025-06-04 12:34:40,SENS-003,181.8,3.06,1415.5,78.5,0,normal
2025-06-04 13:34:40,SENS-003,181.9,2.68,1338.9,82.6,0,normal
2025-06-04 14:34:40,SENS-002,119.8,5.9,992.5,112.1,1,presion_anormal
2025-06-04 15:34:40,SENS-001,201.3,2.29,1427.0,74.7,0,normal
2025-06-04 16:34:40,SENS-001,189.2,2.33,1429.3,87.3,0,normal
2025-06-04 17:34:40,SENS-002,180.7,2.28,1456.6,86.1,0,normal
2025-06-04 18:34:40,SENS-002,183.9,2.26,1649.9,81.2,0,normal
2025-06-04 19:34:40,SENS-004,170.7,1.71,1551.5,83.7,0,normal
2025-06-04 20:34:40,SENS-004,159.8,3.29,1421.0,82.0,0,normal
2025-06-04 21:34:40,SENS-004,183.8,2.12,1485.7,89.4,0,normal
2025-06-04 22:34:40,SENS-002,187.6,2.19,1485.1,91.9,0,normal
2025-06-04 23:34:40,SENS-003,168.9,2.3,1447.0,86.5,0,normal
2025-06-05 00:34:40,SENS-001,184.3,2.3,1626.5,79.0,0,normal
2025-06-05 01:34:40,SENS-001,139.2,7.51,996.3,123.4,1,presion_anormal
2025-06-05 02:34:40,SENS-001,223.1,8.88,1120.1,125.4,1,vibracion_excesiva
2025-06-05 03:34:40,SENS-001,238.2,8.04,837.6,104.3,1,falla_sensor
2025-06-05 04:34:40,SENS-004,174.1,2.61,1442.9,85.0,0,normal
2025-06-05 05:34:40,SENS-001,245.6,11.76,2030.5,112.6,1,vibracion_excesiva
2025-06-05 06:34:40,SENS-001,241.8,11.09,955.9,127.2,1,sobrecalentamiento
2025-06-05 07:34:40,SENS-003,229.8,11.72,940.0,120.4,1,falla_sensor
2025-06-05 08:34:40,SENS-001,185.6,2.42,1412.0,91.0,0,normal
2025-06-05 09:34:40,SENS-004,224.9,12.2,942.9,119.1,1,presion_anormal
2025-06-05 10:34:40,SENS-003,184.8,2.5,1336.2,85.5,0,normal
2025-06-05 11:34:40,SENS-001,131.5,8.49,1982.2,124.8,1,sobrecalentamiento
2025-06-05 12:34:40,SENS-004,174.6,2.63,1469.5,78.8,0,normal
2025-06-05 13:34:40,SENS-003,172.3,2.52,1555.5,75.1,0,normal
